Chromosome	Length (bp)	Centromere (bp)	Percent of total Male	Percent of total Female
1	247,249,719	124,200,000	8.31	8.18
2	242,951,149	93,400,000	8.17	8.04
3	199,501,827	91,700,000	6.71	8.60
4	191,273,063	50,900,000	6.43	6.33
5	180,857,866	47,700,000	6.08	5.98
6	170,899,992	60,500,000	5.74	5.65
7	158,821,424	58,900,000	5.34	5.25
8	146,274,826	45,200,000	4.92	4.84
9	140,273,252	50,600,000	4.72	4.64
10	135,374,737	40,300,000	4.55	4.48
11	134,452,384	52,900,000	4.52	4.45
12	132,349,534	35,400,000	4.45	4.38
13	114,142,980	16,000,000	3.84	3.78
14	106,368,585	15,600,000	3.58	3.52
15	100,338,915	17,000,000	3.37	3.32
16	88,827,254	38,200,000	2.99	2.94
17	78,774,742	22,200,000	2.65	2.61
18	76,117,153	16,100,000	2.56	2.52
19	63,811,651	28,500,000	2.14	2.11
20	62,435,964	27,100,000	2.10	2.07
21	46,944,323	12,300,000	1.58	1.55
22	49,691,432	11,800,000	1.67	1.64
X	154,913,754	59,400,000	2.60	5.13
Y	57,772,954		0.97	0
Total Male	5,948,152,252		100	-
Total Female	6,045,293,052		-	100
